ad,tur,ilce,lat,lon,alan_ha
BOTAŞ PARKI - 2,Park,PENDIK,40.889449,29.27042,5.995
EMNİYETTEPE PARKI,Park,EYUPSULTAN,41.065892,28.949258,0.602
ZUHURATBABA PARKI,Park,BAKIRKOY,40.987248,28.870701,0.127
TEM TAHTAKALE KÖPRÜSÜ - TEM ISPARTAKULE VİYADÜK ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BASAKSEHIR,41.057375,28.711673,13.204
ESENKENT BAHÇEŞEHİR YOLU CADDESİ VE MERCEDES BULVARI,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.077242,28.659455,1.521
HÜRRİYET BULVARI ORTA REFÜJ VE KAVŞAKLAR,Cadde (Kavşak ve Refüj),BEYLIKDUZU,40.992946,28.668076,2.521
PAŞALİMANI - VANİKÖY ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.049503,29.047042,0.311
CEMAL KAYTAZ PARKI,Park,AVCILAR,40.974879,28.743171,2.686
TEKEKÖY MAHALLE PARKI,Park,SILE,41.066432,29.66303,0.036
FİRÜZKÖY ORTA REFÜJ,Cadde (Kavşak ve Refüj),AVCILAR,40.999762,28.711579,0.799
ÇAYIRBAŞI AĞAÇLANDIRMA SAHASI - 3,Ağaçlandırma Sahası,SARIYER,41.14795,29.028539,3.442
İBB ESENLER YAVUZSELİM (METRO) ÇEM BAHÇESİ,Kamu,ESENLER,41.040459,28.884574,0.038
ÇEÇENİSTAN PARKI VE MEYDANI,Park,KARTAL,40.88742,29.186725,3.227
VELİBABA PARKI,Park,PENDIK,40.906923,29.257011,0.888
İBB VELİBABA MAHALLESİ ÇEM BAHÇESİ,Kamu,PENDIK,40.891432,29.261007,0.057
İÇMELER KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.849632,29.298099,1.438
ALİPAŞA KAVŞAĞI - E5 KINALI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.076956,28.164631,13.786
SULTANAHMET MEYDANI CAMİ BAHÇESİ VE ÇEVRESİ,Meydan,FATIH,41.007391,28.977416,6.87
HAYRETTİN PAŞA PARKI,Park,KARTAL,40.932859,29.209464,0.353
ATATÜRK BULVARI VE CEP PARKI,Cadde (Kavşak ve Refüj),BEYLIKDUZU,41.006662,28.640769,1.733
KAVAKPINAR KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.86944,29.279503,0.3
HASKÖY TÜNEL GİRİŞİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.039149,28.953917,0.305
YAKACIK CADDESİ - SPOR CADDESİ KESİŞİMİ ORTA REFÜJ (İGDAŞ YANI),Cadde (Kavşak ve Refüj),KARTAL,40.893171,29.195647,0.015
AYDINLI KATI ATIK AKTARMA İSTASYONU BAHÇESİ,Kamu,TUZLA,40.860659,29.347746,1.531
ÇAĞLAYAN KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SISLI,41.067341,28.978059,2.299
ÇATALCA AHMEDİYE KAVŞAĞI - ÇATALCA KUZEY MARMARA OTOYOLU BAĞLANTI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.097982,28.510373,1.399
TURŞUCUZADE KONAĞI PARKI,Park,FATIH,41.008824,28.977905,0.139
BALIKESİR KAVŞAĞI - E5 KARTAL KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KARTAL,40.91308,29.212952,4.935
SERÇELİ PARKI,Park,KARTAL,40.929314,29.211666,0.485
ÇAĞLAYAN ADLİYE SARAYI - ABİDEİ HÜRRİYET VE ŞEHİTLİK PARKI,Park,SISLI,41.069434,28.980232,4.269
KUMBABA İBB PARKI,Park,SILE,41.166591,29.580775,0.423
ACIBADEM KAVŞAĞI - ATAŞEHİR KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.007459,29.084912,11.162
MİLLET CADDESİ - OSMANLI BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.927135,29.307639,2.151
BAHÇEŞEHİR KÖPRÜLÜ KAVŞAĞI - ESENYURT KÖPRÜLÜ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.039645,28.689011,5.069
KARAKÖY SAHİL PARKI,Park,BEYOGLU,41.023497,28.969956,4.637
GÜMÜŞSUYU - İTÜ YAMAÇLAR YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.040174,28.993061,2.393
ALİPAŞA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.080805,28.211359,2.599
AHMET YESEVİ PARKI,Park,PENDIK,40.873009,29.303007,2.209
SAMANDIRA KAVŞAĞI - ORTADAĞ KÖPRÜLÜ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SANCAKTEPE,40.958785,29.220023,6.879
ÜMRANİYE HATBOYU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.004059,29.137033,1.307
ŞENOL GÜNEŞ BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.001555,29.11856,1.158
TOPKAPI DEPREM PARKI,Park,ZEYTINBURNU,41.02029,28.921911,22.478
ACIBADEM KAVŞAĞI - UZUNÇAYIR KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.003577,29.059272,3.782
ARNAVUTKÖY - HABİBLER ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BASAKSEHIR,41.124796,28.832188,6.563
ASKERİ KUŞAKLAMA YOLU ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENLER,41.093441,28.861747,3.829
ZİYA GÖKALP METRO İSTASYONU,Metro Çıkışı,BASAKSEHIR,41.074449,28.787423,0.513
HALKALI 222. CADDE ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.043948,28.780268,8.49
ESENYURT KÖPRÜLÜ KAVŞAĞI - TEM HARAMİDERE KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.024717,28.682797,8.081
POLONEZKÖY PARKI,Park,BEYKOZ,41.110053,29.205407,0.455
KURTKÖY SPOR TESİSİ BAHÇESİ,Kamu,PENDIK,40.931205,29.319159,7.154
MUHSİN YAZICIOĞLU PARKI,Park,KARTAL,40.926013,29.21347,1.22
BEYKOZ MEHMET YAVUZ CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.135443,29.100833,0.526
PAŞAMANDIRA MAHALLE PARKI,Park,BEYKOZ,41.18426,29.250824,0.313
ADİLE NAŞİT BULVARI,Cadde (Kavşak ve Refüj),ESENYURT,41.020048,28.68446,0.165
BARBAROS BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BESIKTAS,41.05212,29.008939,2.255
PERŞEMBE PAZARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.023657,28.970224,0.027
ZİNCİRLİKUYU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SISLI,41.066035,29.013063,1.813
DR. MİMAR KADİR TOPBAŞ MEYDANI,Meydan,FATIH,41.000296,28.944823,56.818
ŞİŞHANE MEYDANI,Meydan,BEYOGLU,41.027846,28.970524,0.979
HACET DERESİ PARKI,Park,TUZLA,40.873618,29.327623,3.534
SÖĞÜTLÜÇEŞME KAVŞAĞI - UZUNÇAYIR KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KADIKOY,40.991765,29.04285,3.446
KÜÇÜKÇEKMECE GÖLÜ SAHİL PARKI,Park,KUCUKCEKMECE,40.997478,28.766956,17.599
DEĞİRMENÇAYIR MAHALLE PARKI - 1,Park,SILE,40.975249,29.661449,0.035
KAYNARCA BÖLGE PARKI,Park,PENDIK,40.884302,29.2625,10.889
FLORYA ATATÜRK PARKI,Park,BAKIRKOY,40.980538,28.793933,0.32
KÖMÜRLÜK MAHALLE PARKI,Park,SILE,41.081493,29.437077,0.029
HİSAR ÜSTÜ EĞİTİM MERKEZİ BAHÇESİ,Kamu,SARIYER,41.088184,29.052679,0.948
BAĞCILAR MEYDANI,Meydan,BAGCILAR,41.034404,28.856366,2.935
KUZGUNCUK PARKI - 1,Park,USKUDAR,41.039112,29.03348,0.327
KUZGUNCUK PARKI - 2,Park,USKUDAR,41.039806,29.035529,0.363
ÖĞRETMENLER PARKI,Park,SILE,41.136819,29.852559,0.03
DEDEPAŞA CADDESİ PARKI,Park,PENDIK,40.938022,29.317077,9.697
İBN-İ SİNA CADDESİ PARK ALANI,Park,PENDIK,40.874502,29.249396,0.31
KÜÇÜKÇEKMECE MENEKŞE PARKI,Park,KUCUKCEKMECE,40.981818,28.760168,15.549
BALMUMCU JANDARMA KOMUTANLIĞI BAHÇESİ,Kamu,BESIKTAS,41.063275,29.013605,0.4
PARİS MAHALLESİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),KADIKOY,40.991771,29.035082,0.446
HASDAL KAVŞAĞI OKMEYDANI KAVŞAĞI ARASI 3. KISIM ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KAGITHANE,41.059167,28.957316,2.714
ASIM YILDIZ PARKI,Park,EYUPSULTAN,41.087527,28.936731,1.327
PAŞABAHÇE ATATÜRK PARKI,Park,BEYKOZ,41.115617,29.095705,0.095
ESENLER KÖPRÜLÜ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAYRAMPASA,41.045336,28.885647,8.664
ŞEHİT İBRAHİM DOĞAN PARKI,Park,TUZLA,40.830832,29.366523,2.625
BAYRAKTAR CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,40.999515,29.147098,0.192
FESHANE ALİBEYKÖY MERKEZ ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),EYUPSULTAN,41.056779,28.94037,4.168
İKİTELLİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAGCILAR,41.061209,28.811734,7.179
DİKİLİTAŞ PARKI,Park,BESIKTAS,41.056008,29.00443,0.33
İBB SANCAKTEPE TRAFİK EĞİTİM MERKEZİ BAHÇESİ,Kamu,SANCAKTEPE,40.995556,29.237807,1.085
SİLİVRİ FENER MAHALLE PARKI,Park,SILIVRI,41.152717,28.234566,0.33
AHMET ERİŞEN PARKI,Park,PENDIK,40.875211,29.232246,0.184
BAHÇELİEVLER YÜZME HAVUZU BAHÇESİ,Kamu,BAHCELIEVLER,41.00222,28.880569,0.683
ÇINAR PARKI,Park,SILE,41.173216,29.606779,0.096
MESUT SOKAK PARKI,Park,SILE,41.170975,29.610256,0.044
ÇİROZ ENGELLİLER KAMPI,Kamu,BAKIRKOY,40.960108,28.812055,6.91
TEM SELİMPAŞA KAVŞAĞI - E5 SELİMPAŞA KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.062078,28.376425,3.637
ŞEHİT BEKÇİ KANSU TURAN PARKI,Park,BAGCILAR,41.056508,28.835265,0.219
ALİBEYKÖY - KÜÇÜKKÖY ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),GAZIOSMANPASA,41.069091,28.925026,5.414
İBB ZEYTİNBURNU SOSYAL TESİSLERİ BAHÇESİ,Kamu,ZEYTINBURNU,40.984876,28.906492,0.59
TEM SELİMPAŞA KAVŞAĞI - TEM SİLİVRİ KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.096152,28.331359,56.481
İDRİS BİTLİS PARKI,Park,EYUPSULTAN,41.056228,28.933334,0.246
BAYRAK PARKI,Park,SILE,41.167143,29.609334,0.747
ŞEYHLİ MAHALLESİ SAFA CADDESİ - YUNUS EMRE CADDESİ KESİŞİM ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.910528,29.282372,0.023
ŞEHİT KADİR YILDIRIM PARKI (CADDEBOSTAN KARA VE SAHİL PARKI),Park,KADIKOY,40.956624,29.080371,21.331
KURTKÖY MAHALLESİ ANKARA CADDESİ KAVŞAK VE ORTA REFÜJ,Cadde (Kavşak ve Refüj),PENDIK,40.916722,29.304249,0.25
İSTİNYE İSPARK MARİNA İŞLETMESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.113129,29.055789,0.107
BALİBEY MUHTALIK PARKI,Park,SILE,41.17643,29.618706,0.161
ÇİÇEKÇİ YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.013313,29.017561,0.09
BOZHANE MAHALLE PARKI,Park,BEYKOZ,41.164984,29.271804,0.133
TEM HADIMKÖY KAVŞAĞI - E5 HADIMKÖY KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.058702,28.625817,6.074
İBB AVCILAR AMBARLI ÇEM BAHÇESİ,Kamu,AVCILAR,40.976643,28.715459,0.058
İBB BEYLİKDÜZÜ ADNAN KAHVECİ ÇEM BAHÇESİ,Kamu,BEYLIKDUZU,40.994838,28.617454,0.213
İBB BÜYÜKÇEKMECE ATATÜRK ÇEM BAHÇESİ,Kamu,BUYUKCEKMECE,41.013468,28.604333,0.046
HAREM - UZUNÇAYIR KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KADIKOY,41.002045,29.043086,4.376
İÜ AVCILAR SPOR KOMPLEKSİ BAHÇESİ,Kamu,AVCILAR,40.99689,28.721231,0.355
DUDULLU - BAKKALKÖY ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,40.987124,29.136374,2.056
ŞİLE BAĞLANTI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.028639,29.130987,2.696
KISIKLI MEHMET AKİF ERSOY PARKI,Park,USKUDAR,41.02264,29.063011,1.086
OTAĞCILAR PARKI,Park,EYUPSULTAN,41.038842,28.935693,1.041
YENİKAPI MARMARAY METRO İSTASYONU,Metro Çıkışı,FATIH,41.005322,28.951845,0.884
TEM ISPARTAKULE VİYADÜK - TEM AVCILAR KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BASAKSEHIR,41.058585,28.694998,9.144
FETHİ ÇELEBİ PARKI,Park,EYUPSULTAN,41.036049,28.932338,0.36
ŞEHİT FATİH EFİLOĞLU PARKI,Park,SULTANBEYLI,40.99429,29.272813,0.281
İSTANBUL BOĞAZİÇİ ÜNİVERSİTESİ BAHÇESİ,Kamu,BEYKOZ,41.081183,29.070531,8.099
FLORYA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.989194,28.793106,7.09
İBB YUNUS MAHALLESİ ÇEM BAHÇESİ,Kamu,KARTAL,40.895279,29.209814,0.107
YENİ HAVAALANI CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAKIRKOY,40.98157,28.829477,17.705
DUDULLU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.016645,29.165604,0.68
HARP AKADEMİLERİ KAVŞAĞI - HASDAL KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KAGITHANE,41.101012,28.990071,5.029
POLONEZKÖY KAVŞAĞI - RİVA BAĞLANTI YOLU ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.171126,29.187689,0.866
KARTAL ÇAMLIK PARKI,Park,KARTAL,40.939908,29.216094,0.804
İBB ESENYURT ÇEM BAHÇESİ,Kamu,ESENYURT,41.067817,28.635865,0.266
ÇATALCA AHMEDİYE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.08721,28.514627,1.52
KİLYOS MAHALLE PARKI,Park,SARIYER,41.243941,29.034644,0.104
İBB PENDİK HARMANDERE ÇEM BAHÇESİ,Kamu,PENDIK,40.931565,29.31777,0.064
FATİH SULTAN MEHMET PARKI,Park,KARTAL,40.93369,29.21759,1.334
FENERBAHÇE ORDUEVİ BAHÇESİ,Kamu,KADIKOY,40.968076,29.042601,9.001
İETT DURAKLARI VE PAZAR YERİ ORTA VE YAN REFÜJLER,Kamu,PENDIK,40.872384,29.249138,8.416
ŞEHİT JANDARMA ER RIDVAN ÇELİK PARKI,Kamu,KARTAL,40.90157,29.188981,0.126
ULUSLARARASI BARIŞ PARKI,Park,FATIH,40.990269,28.920203,2.474
ANKARA ÜÇGENİ PARKI,Park,USKUDAR,41.00623,29.021977,0.694
PARKKÖY KAVŞAĞI - E5 SİLİVRİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.073286,28.267335,6.648
İSTANBUL VALİLİĞİ BAHÇESİ,Kamu,FATIH,41.011964,28.976626,0.111
SADABAT MESİRE ALANI - 2,Mesire Alanı,KAGITHANE,41.072948,28.967232,1.359
YAŞAM KORUSU,Park,PENDIK,40.933237,29.291197,15.055
TEM KUMBURGAZ KAVŞAĞI - E5 KUMBURGAZ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BUYUKCEKMECE,41.046714,28.467632,10.701
GİYİMKENT - BATIŞEHİR - MAHMUTBEY - İSTOÇ ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENLER,41.069442,28.838318,15.77
ÇATALCA KUZEY MARMARA OTOYOLU BAĞLANTI KAVŞAĞI - ÇAKIL KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.121563,28.489888,5.044
ZİNCİRLİKUYU - HACIOSMAN ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.100038,29.015107,8.672
KARTAL CADDESİ - ENİS AKAYGEN SOKAK KESİŞİMİ ORTA VE YAN REFÜJLER (HASAN PAŞA ÇEŞMESİ ÇEVRESİ),Park,KARTAL,40.915868,29.221192,0.019
İBB KARTAL LOJMANLARI BAHÇESİ,Kamu,KARTAL,40.914768,29.189905,2.742
ZÜMRÜTEVLER KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.930383,29.145515,1.155
GÜNEŞLİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KUCUKCEKMECE,41.027021,28.811226,2.096
İBB BAŞAKŞEHİR KÜLTÜR MERKEZİ BAHÇESİ,Kamu,BASAKSEHIR,41.104443,28.785317,0.597
İBB ŞENLİKKÖY STADI BAHÇESİ,Kamu,BAKIRKOY,40.980987,28.791698,0.127
KARTAL ÖZGÜRLÜK PARKI,Park,KARTAL,40.887166,29.1799,5.583
ORHANGAZİ ŞEHİR PARKI/BATI 2,Park,MALTEPE,40.939426,29.108659,15.659
ŞUAYİPLİ MAHALLE PARKI,Park,SILE,41.133625,29.800265,0.142
ÇAYIRBAŞI MAHALLE PARKI,Park,SILE,41.148931,29.649533,0.129
İBB SANCAKTEPE ÇEM BAHÇESİ,Kamu,SANCAKTEPE,41.01601,29.245423,0.094
ALTUNİZADE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.021904,29.048261,5.331
ŞEHİT HALİT AYDIN PARKI,Park,EYUPSULTAN,41.083866,28.944146,1.954
LİBADİYE CADDESİ ORTA REFÜJ - 1,Cadde (Kavşak ve Refüj),USKUDAR,41.011925,29.074641,0.249
GARİPÇE 15 TEMMUZ ŞEHİTLERİ HATIRA ORMANI,Hatıra Ormanı,SARIYER,41.207878,29.096976,2.762
YAYLALI MAHALLE PARKI,Park,SILE,41.092657,29.6738,0.115
TAŞ OCAĞI CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAGCILAR,41.058991,28.816083,2.822
KUMKAPI BALIKÇILAR ÇARŞISI PARKI,Park,FATIH,41.002453,28.960259,1.446
DOĞANCILI MAHALLE PARKI,Park,SILE,41.191717,29.436957,0.181
YILDIZ HAMİDİYE CAMİ BAHÇESİ,Kamu,BESIKTAS,41.048932,29.010092,0.966
KOZYATAĞI KAVŞAĞI - BOSTANCI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ATASEHIR,40.976339,29.099166,2.963
İBB DR. ENVER ÖREN KÜLTÜR MERKEZİ BAHÇESİ,Kamu,BAHCELIEVLER,41.013575,28.818871,1.079
İBB ŞİLE KÜLTÜR MERKEZİ BAHÇESİ,Kamu,SILE,41.172592,29.615849,0.21
ŞEKERPINAR - ÇAMLICA GİŞELER ARASI ORTA REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SULTANBEYLI,40.949247,29.287842,8.386
İSTOÇ METRO İSTASYONU,Metro Çıkışı,BAGCILAR,41.06471,28.826318,0.165
GÜRPINAR KAVŞAĞI - M.SİNAN KAVŞAĞI ARASI (S RAMPASI),"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BUYUKCEKMECE,41.025125,28.60519,36.471
TEM OTOYOLU KÜÇÜKSU CADDESİ ARASI BAĞLANTI YOLU,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.056775,29.116499,0.544
JAPON BAHÇESİ PARKI,Park,SARIYER,41.097007,29.0522,0.621
TEM KARTAL KAVŞAĞI - SAMANDIRA GİŞELER ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SANCAKTEPE,40.977059,29.210428,3.256
KAĞITHANE İETT BAHÇESİ,Kamu,KAGITHANE,41.064126,28.959456,1.443
MİLLET PARKI,Park,USKUDAR,41.023346,29.052492,2.038
TÜRK SPOR VAKFI OLİMPİYAT EVİ,Kamu,BAKIRKOY,40.986928,28.853173,0.841
GAZANFER BİLGE SPOR SALONU BAHÇESİ,Kamu,BUYUKCEKMECE,41.026887,28.591361,0.186
KAĞITHANE METRO ÇIKIŞI VE ÇEVRESİ,Metro Çıkışı,KAGITHANE,41.079374,28.974337,0.628
FATİH İTFAİYE DAİRE BAŞKANLIĞI,Kamu,FATIH,41.016703,28.953454,0.183
BEYKOZ KANLICA PARKI,Park,BEYKOZ,41.099888,29.065807,0.389
HACIBABA PARKI,Park,USKUDAR,41.028866,29.016966,1.037
ULUPELİT MAHALLE PARKI,Park,SILE,41.087441,29.515097,0.317
VANİKÖY PARKI,Park,USKUDAR,41.068273,29.05729,0.541
TARABYA BAYIRI CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.138077,29.037022,1.11
BUCAKLI MAHALLE PARKI - 1 (BÜYÜK),Park,SILE,41.117556,29.886798,0.263
NİSPETİYE METRO İSTASYONU ÇIKIŞI VE ÇEVRESİ,Metro Çıkışı,BESIKTAS,41.077135,29.024907,0.227
İBB ESENLER NAMIK KEMAL MAHALLESİ ÇEM BAHÇESİ,Kamu,ESENLER,41.032092,28.895568,0.28
MAŞATLIK PARKI,Park,SILE,41.179866,29.613454,0.704
ATAKÖY KAVŞAĞI - ÇOBANÇEŞME KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.992106,28.836816,1.576
ÇATALCA KUZEY MARMARA OTOYOLU BAĞLANTI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.110765,28.503737,3.7
ŞEHİT PİYADE UZMAN ÇAVUŞ ŞAHİN ASLAN MESİRE ALANI,Mesire Alanı,SANCAKTEPE,40.972217,29.21858,14.476
DEMİR KOFA PARKI,Park,SILE,41.134254,29.850837,0.157
BAKIRKÖY CEVİZLİK PARKI,Park,BAKIRKOY,40.974705,28.876558,0.46
RİVA PARKI,Park,BEYKOZ,41.223164,29.216706,0.183
TUZLA VATAN CADDESİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),TUZLA,40.828159,29.309592,0.684
İBB SARAÇHANE BİNASI ÇEVRESİ BAHÇESİ,Kamu,FATIH,41.01354,28.955103,0.642
İBB MALTEPE YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU BAHÇESİ,Kamu,MALTEPE,40.91183,29.153543,0.103
KEMAL SUNAL CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAGCILAR,41.038176,28.848185,1.033
İBB BAKIRKÖY SELENİUM ÇEM BAHÇESİ,Kamu,BAKIRKOY,40.990927,28.836709,0.107
ÖZGÜRLÜK VE DEMOKRASİ PARKI,Park,BAKIRKOY,40.959923,28.836972,0.577
BAKIRKÖY ALEVİ BEKTAŞİ KÜLTÜR MERKEZİ VE CEM EVİ DERNEĞİ BAHÇESİ,Kamu,BAKIRKOY,40.989765,28.83495,0.467
ZEKERİYAKÖY - KUMKÖY CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.214338,29.029697,0.667
15 TEMMUZ ŞEHİTLER KÖPRÜSÜ VE KGM ÇEVRESİ ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.039159,29.040256,0.256
MASKO ÖNÜ YAMAÇLAR,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.063835,28.797068,2.263
8 MAYIS PARKI,Park,EYUPSULTAN,41.047018,28.936764,0.766
SARIYER NADİR NADİ PARKI,Park,SARIYER,41.152422,29.040598,1.572
SANCAKTEPE DERE BANTLARI,Park,SANCAKTEPE,40.987006,29.247132,6.93
HİDAYET TÜRKOĞLU SPOR KOMPLEKSİ BAHÇESİ,Kamu,BAYRAMPASA,41.064892,28.885054,5.242
BÜYÜKYALI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.945448,29.133511,6.605
İBB BARBAROS HAYRETTİNPAŞA ÇEM BAHÇESİ,Kamu,GAZIOSMANPASA,41.076533,28.898726,0.135
KULELİ PARKI - 2,Park,USKUDAR,41.059568,29.052916,0.247
MAÇKA DEMOKRASİ PARKI,Park,BESIKTAS,41.044442,28.993288,13.925
AZERBAYCAN DOSTLUK PARKI,Park,BAGCILAR,41.043887,28.85505,3.136
KADIKÖY ATATÜRK CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KADIKOY,40.981229,29.08292,0.174
HOŞDERE MİLLET PARKI,Park,BASAKSEHIR,41.091741,28.651502,12.7
ADNAN KAHVECİ PARKI,Park,KARTAL,40.938323,29.218383,1.903
