tip,ad,lat,lon,ilce,kaynak
toplanma_alani,Beyoğlu Kapalı Geçici Barınma Alanı,41.025489,28.976726,BEYOGLU,OSM
toplanma_alani,Beyoğlu Kapalı Geçici Barınma Alanı,41.025593,28.976986,BEYOGLU,OSM
toplanma_alani,Beyoğlu Kapalı Geçici Barınma Alanı,41.025272,28.975805,BEYOGLU,OSM
itfaiye,Resneli İtfaiye Eğitim Tesisi,41.083064,28.74093,BASAKSEHIR,OSM
itfaiye,Fatih Ormanı İtfaiye İlk Müdahale Ekibi,41.131978,29.019816,SARIYER,OSM
polis,Sultangazi Zabıta Müdürlğü,41.115215,28.862694,SULTANGAZI,OSM
hastane,NGY Med Dental Clinic,41.002574,28.626179,BEYLIKDUZU,OSM
polis,Tuzla Şehit,40.835996,29.361071,TUZLA,OSM
toplanma_alani,Acil Toplanma Alanı 5911-0001-01,41.330168,27.974131,,OSM
itfaiye,Kocaeli Büyükşehir Belediyesi İtfaiye Dairesi Başkanlığı,40.752701,29.948619,,OSM
polis,Polis Kontrol Noktası,41.348749,27.95862,,OSM
itfaiye,Kanlıca Orman İşletme Müdürlüğü İlk Müdahale Ekip Binası,41.0636,29.106089,BEYKOZ,OSM
toplanma_alani,Acil Toplanma Noktası,41.318977,27.979617,,OSM
polis,Polis,41.266951,28.030097,,OSM
polis,Yabancılar şubesi,40.910989,29.307986,PENDIK,OSM
toplanma_alani,,40.999564,29.126778,UMRANIYE,OSM
toplanma_alani,,41.001171,29.123857,UMRANIYE,OSM
hastane,Gaziosmanpaşa Sile Sağlığı Merkezi,41.286052,27.996734,,OSM
toplanma_alani,,41.140647,29.096983,BEYKOZ,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı,41.091554,29.051996,SARIYER,OSM
polis,Polis,40.911998,29.313504,PENDIK,OSM
toplanma_alani,,41.141953,29.101432,BEYKOZ,OSM
toplanma_alani,,41.140441,29.10289,BEYKOZ,OSM
toplanma_alani,,41.144308,29.101575,BEYKOZ,OSM
toplanma_alani,,41.147864,29.09941,BEYKOZ,OSM
toplanma_alani,3436-002-17,40.990744,29.127833,ATASEHIR,OSM
toplanma_alani,,40.987383,29.152598,ATASEHIR,OSM
toplanma_alani,,41.143678,29.100117,BEYKOZ,OSM
hastane,Üsküdar Üniversitesi Diş Hastanesi,41.027614,29.1157,UMRANIYE,OSM
hastane,Estepalace Clinic,41.064592,28.978247,SISLI,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı İstanbul Kartal,40.899741,29.211366,KARTAL,OSM
hastane,Özel Medipoint Tıp Merkezi,40.982388,29.071332,KADIKOY,OSM
toplanma_alani,,40.769445,29.886405,,OSM
toplanma_alani,,40.763837,29.88641,,OSM
toplanma_alani,,40.766399,29.901395,,OSM
toplanma_alani,,40.774582,29.765615,,OSM
toplanma_alani,,40.773583,29.774407,,OSM
toplanma_alani,Acl Durum Toplanma Noktası,41.335572,27.970072,,OSM
toplanma_alani,Acil Durum Toplanma Noktası,41.297141,28.000929,,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı,41.067575,28.988537,SISLI,OSM
polis,Tourism Police,41.037437,28.98602,BEYOGLU,OSM
toplanma_alani,,40.981167,28.709721,AVCILAR,OSM
toplanma_alani,,40.986197,28.707967,AVCILAR,OSM
polis,Trafik Kontrol Noktası,41.043565,28.894735,BAYRAMPASA,OSM
polis,Trafik Polisi Kontrol Noktası,40.795907,29.460712,,OSM
polis,Kapaklı Belediyesi Zabıta Noktası,41.336111,27.971136,,OSM
toplanma_alani,Acil Durum Toplanma Alanı,41.023461,28.575661,BUYUKCEKMECE,OSM
toplanma_alani,Acil Toplanma Alanı,41.329789,27.973992,,OSM
toplanma_alani,,41.015826,29.065644,USKUDAR,OSM
toplanma_alani,Acil Toplanma Alanı,41.282751,28.013447,,OSM
hastane,Acıbadem,41.17975,28.886023,EYUPSULTAN,OSM
toplanma_alani,Acil Toplanma Alanı,41.313777,27.97631,,OSM
toplanma_alani,2. Noku Acil Toplanma Bölgesi,41.296277,27.985352,,OSM
toplanma_alani,,41.048381,28.920218,EYUPSULTAN,OSM
hastane,Gebze Fatih Devlet Hastahanesi,40.790319,29.420333,,OSM
hastane,Özel Baydent Ağız ve Diş Sağlığı Polikliniği,40.882933,29.236753,PENDIK,OSM
toplanma_alani,Acil Toplanma Yeri,41.045497,28.895772,BAYRAMPASA,OSM
hastane,Bayındır Levent Tıp Merkezi,41.073041,29.017969,BESIKTAS,OSM
hastane,Özel Etiler Hastanesi,41.072611,29.018382,BESIKTAS,OSM
polis,Sultangazi İlçe Emniyet Müdürlüğü,41.108083,28.877957,SULTANGAZI,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı,41.289093,27.996075,,OSM
toplanma_alani,,41.117282,28.972314,SARIYER,OSM
toplanma_alani,Acil Durum Toplanma Alanı,41.111677,28.973079,SARIYER,OSM
toplanma_alani,,41.291268,27.995682,,OSM
